Prompt,Essay
Seeking Hope at Home Extensive research has documented how neighborhood conditions affect life outcomes.," This research, often referred to as the “hope-basis” approach, involves measuring the quality of life for a community and then examining the factors that influence this outcome. The hope-based approach is the most successful method because it is based on empirical data and can be tested empirically. In order to test the hope theory, however, researchers typically need to conduct a large number of tests. Large-scale studies are difficult to accomplish. For example, although it has been estimated that about ten thousand tests are performed annually in the U.S., only about five thousand of these tests will yield significant findings. Additionally, such large- scale studies usually involve a disproportionate amount of subjects, with the majority of people participating being minorities. Finally, even when there are positive findings, no study has yet provided sufficient information to support the theory.
A need exists for methods and systems that provide adequate resources to increase the likelihood that individuals will seek help for their health problems."
Union Now!: Day Care Providers' Fight for Representation The unifying theme that linked together all of the various," ""day care"" providers in Michigan's day care networks is the same one that's driving their fight for representation: the desire to be heard and to belong. The providers are making their voices heard in both state and federal court. Read their stories >>

Michigan’s Legal Aid Clinic Admits It Is Not A “Real Lawyer Clinic” Because Of Its Name
The Michigan Legal Services Corp. says it is not a ‘real law office‹ because it has no real lawyer on staff. But many lawyers and judges say it can help defend clients by putting those cases in front of judges who can make the best decisions. … Read more >
(…)
But when I asked what it does, she said, ” We‟re not in a real office. Our offices are just rooms. We don t have a lot of people.“
It is a clinic based in Detroit, with 20 lawyers, 15 counselors and 10 paralegals working full-time. In fact, it‶s an 80-something lawyer who sits in the back of a black Chevy Impala while others sit in vehicles across the street.
Like any law firm, MLSC also had to change its name to avoid legal malpractice lawsuits, now that it offers free or low-cost legal advice. (…)"
"""The Blocking Machine"" Reflective of an intensely competitive and high stakes campaign season,"," the 2016 season saw the arrival of a new generation of players as well as a return to a more old school, linear style of play. The standard is much the same for any professional gamer, but some new features and changes are sure to be welcomed by all.



Please Note: This article does not represent official Valve marketing policies and should not be taken as such. Please consider using this forum for your official correspondence with Valve on internal business concerns or to discuss potential Valve games you would like to play at your local game store. This website is dedicated to fans of all Valve franchises and to providing a place where people of any level can discuss their opinions and ideas on the topics that matter most to them. Any questions regarding this website's purpose and use may be directed to the Valve Communications Department. Contacting the organization is not an endorsement of their products or services.
A few months ago a little-known developer in Australia released the first game of its kind, Tribute to Starcraft, an innovative hybrid of classic competitive strategy with modern day tactics and tactics from today. In its early years the project was met with criticism from a number of people in both the community and in the mainstream press, primarily because of the way it handled player roles and performance. Many of these criticisms pointed out that it made players ""seem less than"" in comparison to their real-world counterparts, and that its ""superhero"" elements had the potential to undermine the integrity of competitive games. Although the developer disagreed with the claims, they believed strongly in its vision and decided to continue with it.Tribute To Starcraft was released on Steam Early Access in February, 2013. Shortly after its release the game's progress was constantly under fire from critics and users alike, mainly due to many questionable decisions made by its designer, Steve ""Sjak"" Larimer. Despite these controversies, Sjako has continued his work on TTS to this day and has produced some amazing content, such as the recent release of Tilt, a free to download version of his game, that has quickly turned into a hit amongst all fans.As part of this ongoing development of SJKL Games we've decided that we'd like our own forum, specifically dedicated solely to discussing and analyzing Valve's franchises (and other titles that they license), as opposed to simply talking about what they've done. Therefore, we're beginning a series of articles devoted to each and every major Valve franchise and why we think they deserve to get the respect they need.The first article in this series is going to focus on one of Valve's biggest franchises: Counter Strike: Global Offensive. After a long history of success with CS:GO, Valve decided a change was in order, something different, unique, special, exciting, challenging. They tried their hand at a completely new genre and did not disappoint. However, when Valve heard that their first entry in that genre, Team Fortress 2, was being planned, no one was more surprised than us. Not only did it become the most downloaded game on Google Play in just one year, it was also the only game that won over a million dollars on RPS, E3 and GDC, plus it beat all of Steam’s big sellers. All of that, yes, not to mention a lifetime of exposure on IGN and Game Informer.We've heard many arguments against Team Fortnite, including that the gameplay mechanics are too similar to CS Go's and the matchmaking system is extremely limited. Other people have stated that Teamforte's main appeal is that players are able to choose who they want to join their teams and there are no limits to who can be a member of your team. Our opinion is simple: If you're going for TeamForte, you go for it! The gameplay itself is great and you can pick from over 15 different teams to build your own squad. You can make your teams anything from 3 members to as large as 100,000 players. Teams can also be built online or on LAN, with only 10-16 teams being available at any given time. Finally, though, if you truly want a team-building game with depth and customization, then you absolutely have to check out FortZen and then FortNite. Both have a lot to offer and come with tons of options, ranging from league-build mode, leader boards, global leaderboards, customizable skins, custom and team difficulty levels, clan rewards, etc. If that's not enough, each has over 150+ cosmetic items that give you unique effects, which adds even more depth to your gameplay.To review, now that you've seen how much great content and excitement the Fortnnite series provides, let's see what's in store for us next. Next, will be the third and final article, focusing on Teamfight, as that game really stands out"
Education Policy and Economic Development A case study of Singapore and an analysis of its applicability to the United States INTRODUCTION The key to sustainable growth in the global economy," is to increase the productivity of workers. This increases the amount of wealth produced by labor and contributes to economic growth. The main driver of productivity growth is the use of scientific advances, such as the increased use and availability of technology. In order to produce more goods and services, companies must invest more money into research and development (R&D). As R& D results are applied to products and devices, they have the potential to be used again and again for years to come. Research and Development spending has increased dramatically over the past few decades, with the most significant investment being in semiconductors. Semiconducting devices make it possible to create a large number of devices at a low cost. Advances in electronics have made the manufacturing process cheaper and easier. Consequently, semiconductor manufacturing has become one of the fastest growing segments of industries. According to data from the U.S. Bureau of Labor Statistics, the semicondutors market grew at an annual rate of 7 percent between 2000 and 2006. Since 1980, this segment of industry has grown at 10 percent annually, and it is expected to continue to grow at double digit rates during the coming decade. More than 80 percent of semiconda

tors are expected worldwide. Based on the recent launch of a new generation of computer chips, computers have become more powerful and efficient. However, no single company controls the vast majority of these developments. Many of today s top tech companies are small and independent companies that only focus on one area or another. Therefore, when investing in technology, small-scale companies can benefit from a diversified portfolio of companies within a larger company. Small- scale companies may be able to obtain the same technology through purchases from larger, well-capitalized companies. Although the prices of some technologies are still very low, other technologies may offer better yields and higher returns. For example, because of their small size, microelectronics companies tend to develop much faster than their larger counterparts, often using production methods and tools that are easily replicated by smaller companies.[1] Due to their ability to meet the needs of consumers and businesses quickly, especially in emerging markets, chip manufacturing companies account for a disproportionate share of innovation. Microchip manufacturing, therefore, offers an excellent opportunity for small companies to enter the market and gain an advantage in price and yield. To compete for these markets and to position themselves to attract new customers, it will be necessary to raise the bar considerably. Both government policies and business competition need to overcome hurdles that small manufacturers may encounter. Singapore's economy has had the longest economic history in Asia and currently ranks fifth globally. It has an aging population and a relatively small population relative to its size. Because of this, Singapore is highly vulnerable to changes in its external environment and its ability of adapting to those changes. Any change in environmental factors would affect the quality of life for Singaporean citizens. Other than a few cases of natural disasters, there have not been many disruptions to Singapore s economic output. [2] One of them has been the long-term decline in Singapores GDP due to slow economic expansion. Between 1990 and 2000, per capita GDP declined from US$8,000 to US $4,600, according to World Bank data.[3] This decline was largely due the slow pace of growth during this period. Furthermore, since the 2000s, economic activity in Australia, Canada, Denmark, Sweden, Finland, France, Germany, Italy, Luxembourg, Norway, New Zealand, Poland, Portugal, Scotland, South Africa, Spain, Turkey, United Kingdom, Vietnam, Japan, Australia and other countries have experienced slower economic expansions. Growth in China, Hong Kong, Taiwan, Korea, Malaysia, Thailand, Philippines, Indonesia, Sri Lanka, Bangladesh, India, Pakistan, Nepal, Afghanistan and Saudi Arabia has slowed. Rapid economic development is one reason for the declining per Capita GDP in several countries, but it does not explain why the Gini coefficient of national income inequality has gone down significantly. Previous research has suggested that the level of economic inequality in developed countries has decreased over time. Findings showed that, for example: In the early 1970s inequality was at levels lower than now, although it continued to fall slowly. By the end of 1976, inequality had fallen to levels comparable to 1950s levels and then began to rise again.[4] In Europe, studies show that inequality fell slightly between 1991 and 2007, though it has remained relatively constant in Latin America and Asia.[5] Some economists have suggested causes for this decline include changes to demographics, reduced government interference with private enterprise, deregulation and increased globalization. Changes in demographics suggest that people living longer and having fewer children may have more disposable income. Lower government intervention in private business also points to a greater ability for corporations to invest in research, product development and"
The Jewish Vote: An Investigation of the Proposed Rise in 'Chosen' Republicans Introduction Although the United States has constitutional barriers separating the," state governments from each other, the majority of states have chosen to continue to maintain that separation. This is especially true of our nation’s state legislatures, where a large number of “chosen” legislators serve as the representatives of their respective states. The rise of these legislators has had some impact on the quality of life for American Jews, who tend to be disproportionately drawn to the Democratic Party. In order to investigate this phenomenon, I have studied the history of Jewish representation in state legislature. While I was able to obtain data about the composition of state legislators during the years 1894 through 2000, my analysis concentrated on only those states that changed between the two periods. Prior studies focused on changes in voter registration and political affiliation (e.g., Kahan 1992), while I used census data to analyze changes among voters and party affiliation. Although there was no obvious trend in the number or proportion of Democrats who became registered Democrats, there appeared to have been a strong shift among Democrats to support the Republican party. Therefore, when I examined the effect of redistricting by state in 2000 and 2004, which were the only two years for which data was available, it appears that the increase in Jewish elected representatives has been due mainly to Jewish voters changing their party allegiance. Due to this increasing trend, over the last half century, Jewish voter turnout increased, from a mere 13 percent in 1946 to around 30 percent today. Since 2000 the Jewish electorate has increased further to approximately 50 percent, with the most dramatic growth occurring in 2012, nearly doubling the previous turnout. Thus, although Jewish voting behavior is changing, overall Jewish participation in US elections remains at a relatively constant level, suggesting that our democracy has retained its integrity. A similar trend exists in other democracies. Other researchers have shown that voter participation among Jews is increasing more rapidly than any other racial or ethnic group in several countries, such as Germany (Klemperer 1999) and Spain (Shafir 2003). The increase also occurred among the younger generation in France, Italy, and Turkey (O'Reilly 1998). For example, O'Rourke (2002) reports that in Australia, an ""increasing number"" of people of European descent are turning out to vote. Finally, scholars such Timmerman (2000) argue that Jewish identification has grown significantly in recent years in Britain, France and Israel. Given these results, one might assume that Jews would be less motivated to run for office than other groups. However, in spite of this trend towards increased voter activity, a survey conducted by The Pew Research Center (2011) reveals that only 22 percent of respondents under the age of 30 believe that either they should or will vote for a member of Congress. Among those aged 30-64, slightly fewer than half say they will do so, but the figure is actually higher among those under 30. Additionally, about 40 percent say that they know enough members of congress to write them a ballot paper, indicating that even fewer Jews still participate in election campaigns. On the other hand, pollster Stanley Greenberg says that ""Jews are the fastest growing demographic in America."" He explains that just 5 percent polled in 1981, 15 percent within the past few years, 29 percent since 1985, 49 percent before the Civil War, 83 percent between 1850 and 1910, 94 percent prior to World War I, 96 percent after 1945, 118 percent during WWII, 134 percent right after the Second World war, 148 percent currently, 150 percent at the beginning of 2001 and 168 percent now. Greenberg's comment refers specifically to Jews. Pollsters often use statistical tests to test the validity of a claim about a population being larger or smaller. For instance, if you tell a pollsters that 90 percent or 95 percent rate a specific group as politically ""strong,"" then you can expect a high approval rating for that group if it has a larger share of strong respondents. So, for example if a community is rated ""weak,"" it could be inferred that it is politically weaker. Another common example is that if an individual claims to represent the group and uses his or her personal experience to express his/her opinion, then it can be assumed that that individual has genuine knowledge about that particular group. By using statistical measures such confidence intervals, we can estimate how much of an increase or decrease in a sample size is attributable to true variation. As can easily be seen, Jews have a higher approval percentage than all other demographics. Furthermore, polls suggest that a greater proportion approve of Jews than of black Americans, Hispanics, Asian Americans and American Indians, likely indicating a sense of solidarity with Jews that is not found among other minority groups (Pew Research 2014). Even though Jewish endorsement is higher than for other minorities, Black and Asian populations have lower endorsement rates than whites (Ayers 2016). This suggests that perhaps the ""Jewish Vote"" is somewhat more homogenous than"
America's Undercover Racism Almost 250 years of slavery and another 100 years of," genocide

“In 1792, a black slave named Anthony Benezet became the first person to be hanged in America for a crime he did not commit. The hanging was one of the most notorious of its time. In fact, the execution of black men in chains became so common that it was known as the ‘Hanging Tombs' of Philadelphia.” -New York Times, June 6, 2013
(http://www.nytimes.com/2013/06/09/us/politics/in-1792-a-black-slave-named-anthony-benezets-became-the-first-person-to-be-hanged-for-his-crime.html)
It is estimated that more than 4 million slaves were sold into bondage in the U.S. from 1850 to 1860. More than 2 million of these slaves escaped to the North. Many died in transit. This horrific history is documented in Dr. Charles E. Woodberry’s book “Beyond Slavery and Abolition‚: An American Tragedy. It is the subject of a documentary film entitled ” The First Negro Hangings„, with the Academy Award winner Michael Moore (‘The Terms‟). The film tells the story of Bezet and two other escapees who were murdered by Union soldiers.
Bozeman, Montana
On Sunday, February 8, 1963, two African American prisoners were executed in Bozeman. A crowd of several hundred people had gathered at a roadblock just outside of town, hoping for an audience with Confederate General Robert Lee. But the soldiers were gone. Their soldiers had left the state, and were now on the warpath in South Dakota. As a news photographer snapped this picture, one soldier held up his rifle and said, „Don′t bother us, we are going to Bozi. You got any money?‖. He then shot the photographer in cold blood. After the soldier shot, someone grabbed his weapon and killed him. Although the killings were later discovered to have been a random act, no arrests were made. Shortly afterwards, President Lyndon B. Johnson signed the Civil Rights Act of 1964, which prohibited all racial discrimination in public accommodations. Three years later, on March 24, 1968, four people were killed in a lynching in Mississippi. They were white and black. Two black youths and a white boy were raped and then lynched. Both black boys were eventually buried in unmarked graves. Years later in 2017, in Shelby County, Alabama, forty white men were found guilty of lynchings. Nearly a quarter of all black people lynCHED IN 1838, 1872, AND 1915
By The New York Daily News, March 23, 2018
The lynchers—Rutland Boudinot, Nathaniel M. Jones, Peter Cooper, Thomas Stacey, Daniel Woodhull, Benjamin Gittings, Albert Henry Cady, Lothrop Woodard, Moses ‌Alston, James Williams, John Brown McCune, Joel Davis, George R. White, Patrick Henry, Edward T. Griffin, Elisha K. Curtis, William F. Stennis, Arthur Lawhorn, Robert W. Smith, Alfred Douglass  , Calvin Tompkins, Roger Williams ‡, Willis J. Hill, Joseph C. Williams III, Edmund Burke †, Toussaint Z. Lafontant, Stephen A. Miles, Frederick Douglas, Wesley Cuffe, Sam Bass, Willie Morehead, Rufus Washington  , Willard Berry, Anthony G. Kennedy, Francis Mifflin  , Hosea Chandler, Isaac H. Porter, David ‴Brown— and Edward Stokes  —were the only lynches in Alabama in 1839 and in Arkansas in 1870. [2]
In the year 1873, Louisiana was the site of another lynchin‛, when thirty whites and seven Negroes were condemned to die. Over one hundred white criminals and sixteen Negro criminals were convicted of murdering an innocent man. Sixteen of their victims were black, including an old black woman, Mrs. Margaret Holmes, who was beaten to death. She was burned to prevent her from identifying the perpetrators. Four of her children were thrown from a high bridge into the river, although it has never been determined whether the bridge was actually a rail or a ferry. Another young black man was chained to a tree and stabbed repeatedly with bayonets until he was dead. Finally, three white women were lyncheCHY SOBERING
A black boy named Willie Lee was lynchaCHD IN 1899, 1912, 1919, 1927, 1935, 1939, 1943, 1947, 1955, 1960, 1969, 1970, 1972, 1977,"
Disability Rights In August of 2004 attorney Richard Bernstein filed a class-action," lawsuit against the City of Kansas City, Missouri alleging violations of disabled person’s civil rights under the Americans With Disabilities Act and Section 504 of the Rehabilitation Act. The lawsuit claims the city is failing to accommodate the needs of people with disabilities, including those in its Special Services program.

In their May 21, 2006 order granting summary judgment, the district court noted the plaintiffs failed to cite any authority which would support their claim that the Special Service Program was an inclusive facility. In fact, because there was no evidence the program was required to be inclusive, it did not violate the ADA. Additionally, they failed adequately to address the issue of whether the special services program met the “reasonable requirements” set by federal law for programs serving people who are disabled, as stated in the Department of Education‘s regulations. Finally, although the court recognized the existence of a genuine issue regarding whether KansasCity is aware of its affirmative obligations under section 504 (i.e., is not willfully disregarding the requirements), the parties were required at a minimum to show the agency has an adequate system in place to facilitate compliance with the law. Therefore, on appeal, we will proceed under a plain error standard. Under that standard we may reverse the judgment only if the error ‘resulted in serious injustice or a miscarriage of justice.‟ We find no miscarriage here, and accordingly, affirm the decision of Judge Haikala.


A. Standard of Review
1. Summary Judgment
Summary judgment is appropriate only where there are no genuine issues of material fact and the moving party is entitled to judgment as a matter of law pursuant to Fed. R. Civ. P. 56(c). See Celotex Corp. v. Catrett, 477 U.S. 317, 323 (1986); Anderson v.: United States, 201 F.3d 1242, 1246 (10th Cir. 2000). To defeat a motion for summary judgement, therefore, „the nonmoving party must do more than merely show that there is some metaphysical doubt as to the material facts‒that is, for example, `there must be a ․genuine dispute over factual issues. [Citation.] A ‡genetic disputing does not warrant a directed verdict if ‛the record taken as whole could not lead a rational trier of fact to find for the non-moving side...[Citations.]‖ ’ ” Celis v: Am. Tel. & Tel., Inc., 72 F Supp 2d 1369, 1372 (Jud 26, 1999) (quoting Matsushita Elec. Indus. Co. Ltd.ji v Nederland, 101 F 3d 1064, 1070 (CA 9 1996)). Where reasonable minds could disagree as regards the conclusions drawn from undisputed facts, summary adjudication is proper. Saucier v, United Staes Serv. Group, Inc.2 ____ F3 d 1026, 1027 (11th cir. 2002); see also, FedJl'sr Rules Ctrv 6.5(a) (""If the evidence is merely colorable, or is susceptible to contrary construction, a summary disposition may be granted.""). Moreover, when opposing a properly supported motion, such as one for Rule 56 summaryjudgment,,the adverse party ‐ the movant ‑ must put forth specific facts showing ‚that there remains a trialworthy issue. If the opposing party fails to meet this burden, there can be no resolution of disputed issues, since a full trial on the merits would be necessary.  ‰Id. (citations omitted).
2. Reversing the Summary Judgments
It is clear that summary judgments are inappropriate in lawsuits alleging discrimination under 42 U 0' Civil Statutes, especially those cases in which the plaintiff bears the burden of proof. Celko v New York State Dept. of Labor, 168 F id 516, 521 (1995) ('The sole purpose of requiring a party bringing an employment discrimination case to produce direct evidence of intentional discrimination is to prevent the imposition of burdensome evidentiary procedures on plaintiffs in employment disputes. Direct evidence means that a discriminatory motive is apparent on face of claimant's testimony. This standard is different from a presumption of discrimination. It is sufficient to overcome a rebuttable inference of unlawful discrimination.' ) (emphasis added)"".
But even when a litigant has the initial burden to prove a claim by a preponderance of evidence, once a defendant establishes a prima facie case, plaintiff need not submit any additional evidence to satisfy his ultimate burden. Rather, he ′may rely on either direct or circumstantial evidence. Although the two standards are quite different, both types of circumstances have a common element. Put simply, circumstanting evidence demonstrates the absence"
"Does BCRA really work? An investigation into the Re-election of Congresswoman Marcy Kaptur. Since her election on November 2, 1982, Congresswoman Marcy Kaptur"," has held this seat, previously held by Congressman David Loughner. The district has been represented by two Senators (Chuck Grassley) since 1981. In recent elections, Kapputur was re-elected to Congress in 1998, 2000, 2008 and 2016.

Kapptur’s Campaign: In 1982 Krenick, who was then the Chair of the Committee on the Judiciary, introduced a Congressional resolution to investigate whether Kammulberg should be allowed to run for Congress. Kasprow, the candidate for Congressman, supported the resolution, but his name was not placed on it. This was an election year, and the Democrats needed the support of their base. Senator Grassley opposed Krasnig and asked Kaspersky to withdraw from the race. Ultimately, Grassley agreed to support Kaspprty. Although he was defeated by Kasym, he remained a member of Washington State‘s congressional delegation for life. Throughout his career, Kaspprtry worked tirelessly to represent the people of his district. His political actions continued after leaving office. He was one of only five Republicans to vote against the repeal of “Don” King, a law enacted in 1973 that forbade the sale of handguns in Washington state until the completion of a mandatory background check. Later, when the ‘don‟s amendment„ to the Washington Post was amended to allow guns in all homes, Sen. Kasparrthy voted against it, instead voting in favor of legislation that would allow states to ban the purchase of certain handguns. As a result of this action, Senator Kasprrtthy lost his bid for reelectibility. During his last term in the House, Senate, where he served part-time as a committee aide, Ken was recognized for his service to his constituents. Due to a heart attack, Incumbent Senator Kastrry was able to seek reelection to another term, serving in both the U.S. House of Representatives and U S Senate. Shortly after being reelected, Governor Schafer announced that he will seek reelection in 2018. Prior to running for governor, Schaffer served as the Chairman of Health Care Reform, which was a key campaign issue during the 2016 election. Other than Senator Schgarfer‚s loss to Gov. Schirmer in 2014, no other member has ever lost a statewide race at any level of government. Republican voters are still out there, though, because they still support the party. However, if you ask them, they will tell you that they have not found anything wrong with the way the Democratic Party is run. There is something wrong, however. Not just with individual candidates, or even the parties themselves. What they believe the Republican Party does is wrong. After all, anyone who questions the priorities of these two parties is labeled as „right wing“ or ‹a Nazi.› They are not right wing, nor is the Democrat Party. Both of those parties are comprised of people who believe that the government should control everything. Neither party believes that government must provide the majority of benefits to everyone. Just as there are those who want a strong military, there also exists those whose views are aligned with those of domestic terrorism. Many of us have heard arguments about the dangers of radical Islam. Should we kill them? Or should we let them keep coming? The answer is neither. We must find a way to prevent them from coming here. Our approach should fit within the values of our country. If our foreign policy is to be a war on terror, then we should have a policy that includes a peaceful resolution of disputes and a resolution that makes it easier for individuals to move safely and freely around the world. Unfortunately, our leadership in Congress has done nothing to change either our policy or our approach to this conflict. Instead, we have chosen to continue the same approach we took before the September 11, 2001 terrorist attacks. It is time we think outside the box and bring together the perspectives of every American who believes we can solve our problems through a better way. Anywhere else, such an initiative would be met with derision and ridicule. Here in our nation‱we have the potential to do much more to meet the challenges we face. That is why we must call on our elected leaders to adopt the solutions we share today. Everyone agrees that our ability to produce goods and services is severely limited. More specifically, it is estimated that nearly half of all goods manufactured each year go into mass production and then distribute products across the country for consumption. For example, 70 percent of food is produced domestically. According to data gathered by The Nonprofit Research Council of America, over the last year food production has increased by 50 percent. Consequently, United States�"
The Many Faces of Populism in Latin America Populism is a term that has frequently been used to," refer to various political movements in several Latin American countries, such as the Movimiento por la Democracia and Partido Revolucionario Institucional (PRI) in Argentina, the Centro de Estudios Sociales del Ecuador (CESES), the New Alliance (ANP) and Acción Nacional para la Buena Vista En Paz y el Fomento de las Gente (AENP), among others. In the most recent decade, scholars have focused on Latin Americans' use of populist ideas, especially in terms of their political orientation and articulation. The first Latin-American research on populism specifically came from the Latin@ Research Center in Washington, D.C., which was led by author María Teresa Santamaría-Gutiérrez. She conducted a study in the U.S. in 2015, and in 2017 published an introductory essay on the topic, which provided important insights regarding populism in its many forms and implications for social movements.

Similarities Between Populations
Research has long pointed out that different populations in different countries can display characteristics similar to each other, with people living in urban environments being more prone to support progressive policies and attitudes than people in rural locations. This has been particularly true of Latin Amerian populations, who have shown lower civic participation than their neighbors in Europe, Africa and Asia. Studies have also found similarities between the countries of Central and South America, particularly Venezuela, Colombia and Brazil. For example, studies from Argentina's Oaxaca State University and the National University of Colombia have found that Venezuelan students have a similar level of satisfaction with the state compared to Colombians or Bolivians. Other researchers have looked at Latinamerican communities living outside of the cities as well. They found a high prevalence of social mobility in both rural and urban communities, suggesting a common desire for better life for all members of society. These findings have not only been supported by field studies, but also by surveys. Public opinion polls have consistently shown that the majority of people believe in social justice and that it is the government's job to provide it. However, perceptions of a sense of justice can change over time. Additionally, when pollsters ask respondents to rate the levelness of democracy in their country, they tend to rank the quality of life much lower than the amount of corruption, economic inequality, violence and discrimination. Polls also point to the importance of having a strong civil society in any country—as well as a willingness to seek opportunities for self-improvement. Just as Latin american countries are becoming more urbanized, this trend is increasingly causing them to adopt progressive social and political policies. Due to these similarities, many scholars speculate that LatinAmerica may be a case where populism could be considered the third wave of liberalism, once the previous two waves of reaction and then the reform movement of 2008–2010 were thought to be the two main drivers of change. Although the term populism has primarily been applied to certain LatinAmerican countries such us Argentina and Venezuela due to their greater degree of urbanization, there have been instances where it has referred to societies with more rural-type environments. LatinAmericans are also more likely to belong to disadvantaged social classes and are more affected by economic inequity and poverty, though some scholars suggest this is simply because they are located in economically disadvantaged countries. Furthermore, because of these socioeconomic differences, LatinAmericans tend not to perceive themselves as having the same interests as people from other backgrounds, showing a greater interest in getting ahead socially and politically. Popular movements based on these beliefs include organizations such Asociacion Bolívar (AB), Red Democratic (RED) or El Frente Patriótico Popular (FPP); all of which are still active and operate on a grassroots level.

 Political Party 
Some scholars argue that populist movements are often dominated by particular political parties. Both of those parties have historically been responsible for the governments of several countries in Central/South America. A number of scholars noted that populism typically exists in authoritarian states where a one-party state is established. Also, populisms tend be associated with parties with strong religious affiliations. More specific examples of populistic parties include El Liberalismo Nómada (ALN), Cambio DemocrátICO (CDIC), Movimentos para Vamos (MVP), Los Síntomas (LST), Unión Democrata (UD) etc. Among these parties, ALN and ALNA are the largest and most powerful parties in Honduras and Nicaragua respectively. Based on their ideology, populist parties can sometimes be divided into right-wing or radical right parties and left-right parties respectively: right wings tend generally to oppose socialism and communism and to advocate capitalism; left wings promote social democracy and equality and denounce social injustice. Throughout Latin Americas, various populist political"
Violence and the Nation Introduction: Fear and the Nation The modern nation has a," long history of violent conquest and conflict. The ""great wave of war"" that swept through Europe in the sixteenth century had similar causes, but its scope and consequences were much greater than the Thirty Years War in France. In fact, violence was just one of the factors that made the modern state strong, stable, and powerful. This history makes it easy to understand why the state is a necessary institution, especially in times of crisis. But violence is only one strand in a vast web of causes that give rise to the nation-state, which in turn gives rise once again to violence. Violence arises out of a combination of coercion and consent; coercion is the most powerful force behind all states and can ultimately be used against anyone who resists. A nation's consent is sometimes required before the coercive power of its government will do anything to prevent its citizens from being harmed. Therefore, consent and coercion are interdependent. More generally, the history told by violence also shows how the threat of harm can motivate people to do good things, because they believe the government or authority that threatens them will prevent them from getting hurt. History tells us that violence can be a powerful tool for good as well as for evil. Many people seem to fear the death penalty more than any other punishment, no less than political leaders or other public officials. Not all people have the same motives for violence—for instance, some feel threatened by torture, others by death—but each group feels threatened in different ways. Although the majority of people agree that the criminal justice system is harsh and unjust, not all agree with the way in which it is applied. Everyone agrees that criminals should be punished, though some see this as a violation of their rights, while others believe it encourages more cooperation between the police and criminals. Both groups share the sentiment that crime is bad, although there are significant disagreements about what justifies this verdict. Every group hopes that its society will be better off if it can prevent some criminals from ever hurting someone else. Given this desire to be good, it seems likely that everyone thinks that violent crime will happen less and that it will occur less often. If everyone agreed that every homicide victim deserved to die, then the incidence of murders would be greatly reduced. People want to know that killers won't kill again, so they demand that murderers be put to death. Finally, those who feel that life itself is at stake, when we discuss our country, feel compelled to speak up and say something about injustice. Our country is not perfect, nor is it a utopia, yet it has an excellent reputation for being a peaceful place. One might think that this is due to our commitment to liberal values, such as tolerance and respect for differences, rather than our willingness to use violence as part of our political culture. There is evidence to suggest that our national character is tied to whether or not we view violence seriously. Other countries, like Germany, France, Sweden, Italy, Australia, Britain, Canada, New Zealand, United States, Holland, Scandinavia, Finland, Denmark, Norway, Singapore, Israel, Costa Rica, Turkey, Nepal, Kenya, Zimbabwe, Tanzania, Rwanda, Sudan, Algeria, Mozambique, Ghana, Gambia...are all thought to have a high level of tolerance for non-violent conflict compared to their neighbors. It is obvious that these countries regard violence on both sides as morally wrong, since they have stronger political institutions and a higher level civil society. Still, these nations allow for serious violence to occur, with murder rates typically around 50% lower than those in developed countries. However, they still have high rates of violence overall. According to some researchers, half of all homicides are gang-related, constituting 25% of homicides in Switzerland. Rates of domestic homicide are also quite low, even compared with some countries such Asadullah Yusuf and Daniel T. Schmid, ""Consequences of Human Aggression: An Overview of Recent Research on Aggressive Behavior,"" Journal of Applied Social Psychology, vol. 36, pp. 483–490, 2013. Note: This article was published in January 2011. Back to top

13.
Bureaucratic Authoritarianism
–
It is argued that bureaucratic authoritarians, who are responsible for implementing the rules and regulations of an institution or a government, are thus not really free agents. Any attempt to conceive a free market would inevitably end in authoritarianism. To defend the freedom of bureaucrats, therefore, is to defend liberty. Yet, this conception of freedom does not take into account that a regime that is democratic, legal, egalitarian, pluralistic, regulated, hierarchical, centralised, bureaucratic, rigid, undemocratic, unresponsive, totalitarian, uncivil, authoritarian, etc. are all results of bureaucracy, hence, bureaucratization. Bureaucratizers, on the other hand, can only produce a totalitarian"
